ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
121,On Liberty,"Mill, John Stuart",1859,public domain,Penguin Books,On_Liberty,FALSE,https://the-eye.eu/public/Books/Bibliotik/O/On%20Liberty%20-%20John%20Stuart%20Mill.epub
122,Coal Creek,"Miller, Alex",2013,all rights reserved,Allen & Unwin,Coal_Creek,TRUE,https://the-eye.eu/public/Books/Bibliotik/C/Coal%20Creek%20-%20Alex%20Miller.epub
123,Winnie the Pooh,"Milne, A. A.",1926,public domain,Dutton Children's Books; Penguin Group (USA) Inc.,Winnie_the_Pooh,FALSE,https://the-eye.eu/public/Books/Bibliotik/W/Winnie_the_Pooh-Milne.epub
124,Catching the Sky,"Moore, Colten and O'Brien, Keith",2016,all rights reserved,"37 INK/Atria Books; Simon & Schuster, Inc.",Catching_the_Sky,TRUE,https://the-eye.eu/public/Books/Bibliotik/C/Catching%20the%20Sky%20-%20Colten%20Moore.epub
125,The Heretic Queen,"Moran, Michelle",2008,all rights reserved,"Crown Publishers; Random House, Inc.",The_Heretic_Queen,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Heretic%20Queen%20-%20Michelle%20Moran.epub
126,The Gondola Maker,"Morelli, Laura",2014,all rights reserved,Laura Morelli; Smashwords,The_Gondola_Maker,TRUE,https://the-eye.eu/public/Books/Bibliotik/G/Gondola%20Maker%2C%20The%20-%20Laura%20Morelli.epub
127,Songs in Ordinary Time,"Morris, Mary McGarry",1995,all rights reserved,"Open Road Integrated Media, Inc.",Songs_in_Ordinary_Time,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Songs%20in%20Ordinary%20Time%20-%20Mary%20McGarry%20Morris.epub
128,Beloved,"Morrison, Toni",1987,all rights reserved,Vintage Books; Random House of Canada Limited; Alfred A. Knopf,Beloved,FALSE,https://the-eye.eu/public/Books/Bibliotik/B/Beloved%20-%20Toni%20Morrison.epub
129,Norwegian Wood,"Murakami, Haruki",1987,all rights reserved,Vintage; The Harvill Press; Kodansha Ltd,Norwegian_Wood,FALSE,https://the-eye.eu/public/Books/Bibliotik/N/Norwegian%20Wood%20%28Vintage%20Books%29%20%5BEpub%5D%20-%20Haruki%20Murakami.epub
130,Eat More Plants,"Nielsen, Desiree",2019,all rights reserved,Penguin Canada; Penguin Random House Canada Limited,Eat_More_Plants,TRUE,https://the-eye.eu/public/Books/Bibliotik/E/Eat%20More%20Plants%20-%20Desiree%20Nielsen%3B.epub
131,Polaris,"Northrop, Michael",2017,all rights reserved,Scholastic Press; Scholastic Inc.,Polaris,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Polaris%20-%20Michael%20Northrop.epub
132,Pagans,"O'Donnell, James J.",2015,all rights reserved,HarperCollins e-books,Pagans,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Pagans%20-%20James%20J.%20O%27Donnell.epub
133,Windfall,"O'Sullivan, Meghan L.",2017,all rights reserved,Simon & Schuster,Windfall,TRUE,https://the-eye.eu/public/Books/Bibliotik/W/Windfall%20-%20Meghan%20L.%20O%27Sullivan.epub
134,The Memory Police,"Ogawa, Yoko",1994,all rights reserved,Pantheon Books,The_Memory_Police,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Memory%20Police%20-%20Yoko%20Ogawa.epub
135,Winter Sisters,"Oliveira, Robin",2018,all rights reserved,Viking; Penguin Random House LLC,Winter_Sisters,TRUE,https://the-eye.eu/public/Books/Bibliotik/W/Winter%20Sisters%20-%20Robin%20Oliveira.epub
136,Nineteen Eighty-Four,"Orwell, George",1949,all rights reserved,Penguin Books Ltd; Martin Secker & Warburg Ltd,Nineteen_Eighty-Four,FALSE,https://the-eye.eu/public/Books/Bibliotik/N/Nineteen%20Eighty-Four%20%28The%20Annotated%20Edition%29%20-%20George%20Orwell.epub
137,Fight Club,"Palahniuk, Chuck",1996,all rights reserved,"W. W. Norton & Company, Inc.; W. W. Norton & Company Ltd.",Fight_Club,FALSE,https://the-eye.eu/public/Books/Bibliotik/F/Fight%20Club%20-%20Chuck%20Palahniuk.epub
138,The Complete Joy of Homebrewing,"Papazian, Charlie",1984,all rights reserved,HarperCollins Publishers Inc.,The_Complete_Joy_of_Homebrewing,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Complete%20Joy%20of%20Homebrewing%20-%20Charlie%20Papazian.epub
139,The Cult of Loving Kindness,"Park, Paul",1991,all rights reserved,"ElectricStory.com, Inc.; William Morrow",The_Cult_of_Loving_Kindness,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Cult%20of%20Loving%20Kindness%20-%20Paul%20Park.epub
140,Along Came a Spider,"Patterson, James",1993,all rights reserved,"Little, Brown and Company; Hachette Book Group",Along_Came_a_Spider,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/Along%20Came%20a%20Spider%20-%20James%20Patterson.epub
141,Payard Cookies,"Payard, François and McBride, Anne E.",2015,all rights reserved,Houghton Mifflin Harcourt,Payard_Cookies,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Payard%20Cookies.epub
142,Essential Pepin Desserts,"Pépin, Jacques",2011,all rights reserved,Houghton Mifflin Harcourt,Essential_Pepin_Desserts,TRUE,https://the-eye.eu/public/Books/Bibliotik/E/Essential%20Pepin%20Desserts%20-%20Jacques%20Pepin.epub
143,Why New Orleans Matters,"Piazza, Tom",2005,all rights reserved,HarperCollins Publishers; Harper Perennial; HarperCollins e-books,Why_New_Orleans_Matters,TRUE,https://the-eye.eu/public/Books/Bibliotik/W/Why%20New%20Orleans%20Matters%20-%20Tom%20Piazza.epub
144,Enlightenment Now,"Pinker, Steven",2018,all rights reserved,Viking; Penguin Random House LLC,Enlightenment_Now,TRUE,https://the-eye.eu/public/Books/Bibliotik/E/Enlightenment%20Now%20-%20Steven%20Pinker.epub
145,Competitive Strategy,"Porter, Michael E.",1980,all rights reserved,The Free Press; Simon & Schuster Inc.,Competitive_Strategy,TRUE,https://the-eye.eu/public/Books/Bibliotik/C/Competitive%20Strategy%200101%20-%20Michael%20E.%20Porter.epub
146,Night Watch,"Pratchett, Terry",2002,all rights reserved,HarperCollins Publishers,Night_Watch,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/Terry%20Pratchett%20-%20Discworld%2029%20-%20Night%20Watch%20%5Bretail%5D.epub
147,The Subtle Knife,"Pullman, Philip",1997,all rights reserved,"Alfred A. Knopf, Inc.; Scholastic Children's Books",The_Subtle_Knife,FALSE,https://the-eye.eu/public/Books/Bibliotik/P/Pullman%20-%20The%20Subtle%20Knife.epub
148,The Seductions of Darwin,"Rampley, Matthew",2017,all rights reserved,The Pennsylvania State University Press,The_Seductions_of_Darwin,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Seductions%20of%20Darwin%20-%20Matthew%20Rampley.epub
149,Kitchen Table Wisdom,"Remen, Rachel Naomi",1996,all rights reserved,Riverhead Books; Penguin Group (USA) Inc.,Kitchen_Table_Wisdom,TRUE,https://the-eye.eu/public/Books/Bibliotik/K/Kitchen%20Table%20Wisdom%2010th%20Anniversary%20-%20Rachel%20Naomi%20Remen.epub
150,Backroads Boss Lady,"Roberts, Jessi and Witter, Bret",2019,all rights reserved,Grand Central Publishing; Hachette Digital,Backroads_Boss_Lady,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Backroads%20Boss%20Lady%20-%20Jessi%20Roberts.epub
151,Soft in the Head,"Roger, Marie-Sabine",2008,all rights reserved,Pushkin Press,Soft_in_the_Head,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Soft%20in%20the%20Head%20-%20Marie-Sabine%20Roger.epub
152,The Making of a Mediterranean Emirate,"Rouighi, Ramzi",2011,all rights reserved,University of Pennsylvania Press,The_Making_of_a_Mediterranean_Emirate,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Making%20of%20a%20Mediterranean%20E%20-%20Rouighi%2C%20Ramzi%3B.epub
153,Harry Potter and the Sorcerer's Stone,"Rowling, J. K.",1997,all rights reserved,Pottermore Limited; Arthur A. Levine Books,Harry_Potter_and_the_Sorcerer_s_Stone,FALSE,https://the-eye.eu/public/Books/Bibliotik/H/Harry_Potter_and_the_Sorcerers_Stone-Rowling.epub
154,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",1998,all rights reserved,Pottermore Limited; Arthur A. Levine Books,Harry_Potter_and_the_Chamber_of_Secrets,FALSE,https://the-eye.eu/public/Books/Bibliotik/H/Harry_Potter_and_the_Chamber_of_Secrets-Rowling.epub
155,Harry Potter and the Goblet of Fire,"Rowling, J. K.",2000,all rights reserved,Pottermore Limited; Arthur A. Levine Books; Scholastic Inc.,Harry_Potter_and_the_Goblet_of_Fire,FALSE,https://the-eye.eu/public/Books/Bibliotik/H/Harry_Potter_and_the_Goblet_of_Fire-Rowling.epub
156,Harry Potter and the Deathly Hallows,"Rowling, J. K.",2007,all rights reserved,Pottermore Limited; Arthur A. Levine Books; Scholastic Inc.,Harry_Potter_and_the_Deathly_Hallows,FALSE,https://the-eye.eu/public/Books/Bibliotik/H/Harry_Potter_and_the_Deathly_Hallows-Rowling.epub
157,Born to Walk,"Rubinstein, Dan",2015,all rights reserved,ECW Press,Born_to_Walk,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Born%20to%20Walk_%20The%20Transformative%20Power%20of%20a%20Pedestrian%20Act%20-%20Dan%20Rubinstein%20%28retail%29.epub
